"","CODVENTA","DESCRIPCION"
"193","RO0000076","Manchego"
"194","RO0000077","Tinto Reserva 95"
"195","RO0000077","Cantucci Biscotti"
"196","RO0000077","Layden Gin"
"197","RO0000078","Pecorino Toscano"
"198","RO0000078","Golden Semillon 97"
"199","RO0000078","Manchego"
"200","RO0000078","Parmigiano Reggiano"
"201","RO0000079","Brut Chardonnay Blanc de Blancs"
"202","RO0000079","Camembert"
"203","RO0000079","Mountain Gorgonzola"
"204","RO0000079","Mature Blue Stilton"
"205","RO0000080","Ultra-Brut"
"206","RO0000080","White Stilton"
"207","RO0000080","Raclette"
"208","RO0000081","Maasdam"
"209","RO0000081","Camembert"
"210","RO0000082","Gruyère de Comté"
"211","RO0000083","Idiazabal"
"212","RO0000083","Layden Gin"
"213","RO0000084","Dark Chocolate Digestives"
"214","RO0000084","Cabernet Sauvignon Reserva 93"
"215","RO0000084","Tinto Reserva 95"
"216","RO0000084","Tinto Reserva 96"
"217","RO0000084","Maasdam"
"218","RO0000084","Goat's Irish Boile"
"219","RO0000084","Bordeaux 97"
"220","RO0000084","Ibérico"
"221","RO0000085","Malbec 99"
"222","RO0000085","Scotch Whiskey 15 años"
"223","RO0000085","Chablis Chardonnay 97/98"
"224","RO0000085","Mature Blue Stilton"
"225","RO0000085","Maasdam"
"226","RO0000085","Brinata"
"227","RO0000086","Parmigiano Reggiano"
"228","RO0000086","RocheBaron Creamy Blue"
"229","RO0000086","Yalumba Grenache 97"
"230","RO0000086","Maasdam"
"231","RO0000087","Blanc de Blancs Grand Cru"
"232","RO0000087","Manchego"
"233","RO0000087","Cow's Irish Boile"
"234","RO0000088","Brutti e Buoni"
"235","RO0000088","Morbier"
"236","RO0000089","Maasdam"
"237","RO0000089","Gouda"
"238","RO0000090","Chablis Chardonnay 98"
"239","RO0000091","Fino"
"240","RO0000091","Bourbon Creams"
"241","RO0000091","Gouda"
"242","RO0000092","Cabernet Franc 97"
"243","RO0000093","Chardonnay 98"
"244","RO0000093","Brutti e Buoni"
"245","RO0000094","Tinto Reserva 94"
"246","RO0000094","Tinto Gran Reserva 91"
"247","RO0000094","Chocolate Bars"
"248","RO0000094","Merlot 97"
"249","RO0000095","Monte Veronese"
"250","RO0000095","Pinot Noir 97"
"251","RO0000095","Tinto Gran Reserva 82"
"252","RO0000096","Chablis Chardonnay 97/98"
"253","RO0000097","Mature Cheddar"
"254","RO0000097","Tinto Reserva 95"
"255","RO0000097","Brillant Savarin"
"256","RO0000098","Merlot 99"
"257","RO0000098","Mozzarella di Bufala"
"258","RO0000099","Manchego"
"259","RO0000099","Tiramisú"
"260","RO0000100","Brutti e Buoni"
"261","RO0000100","Bordeaux 97"
"262","RO0000100","Blanc de Blancs Brut Premier Cru"
"263","RO0000101","Riesling Spätlese 98"
"264","RO0000101","Mozzarella di Bufala"
"265","RO0000101","Fino"
"266","RO0000102","Cabernet Sauvignon-Shiraz 98"
"267","RO0000103","Chevrelait"
"268","RO0000103","Reblochon"
"269","RO0000103","Blanc de Blancs Grand Cru"
"270","RO0065536","Cabernet Sauvignon-Shiraz 98"
"271","RO0065536","Camembert"
"272","RO0065537","Golden Semillon 97"
"273","RO0065537","Tinto Reserva 95"
"274","RO0065538","Parmigiano Reggiano"
"275","RO0065539","Chablis Chardonnay 97"
"276","RO0065539","Manchego"
"277","RO0065539","Tinto Reserva 95"
"278","RO0065539","Brut Chardonnay Blanc de Blancs"
"279","RO0065540","Maasdam"
"280","RO0065540","Tinto Reserva 94"
"281","RO0065541","Parmigiano Reggiano"
"282","RO0065541","Scotch Whiskey 15 años"
"283","RO0065541","Parmigiano Reggiano"
"284","RO0065541","Brut Chardonnay Blanc de Blancs"
"285","RO0065542","Pinot Noir 98"
"286","RO0065542","Camembert"
"287","RO0065542","Chevrelait"
"288","RO0065542","Tinto Crianza 96/97"
"289","RO0065542","Shiraz 97"
"290","RO0065542","Mature Blue Stilton"
"291","RO0065542","Camembert"
"292","RO0065542","Tinto Crianza 96"
"293","RO0065543","Parmigiano Reggiano"
"294","RO0065543","Blanc de Blancs Grand Cru"
"295","RO0065543","Zinfandel 96"
"296","RO0065543","Chablis Chardonnay 97/98"
"297","RO0065543","Tinto Reserva 95"
"298","RO0065543","Scotch Whiskey 18 años"
"299","RO0065544","Tinto Reserva 95"
"300","RO0065545","Tiramisú"
"301","RO0065545","Manchego"
"302","RO0065546","Chablis Chardonnay 98"
"303","RO0065547","Gorgonzola Dolce"
"304","RO0065547","Tinto Gran Reserva 91"
"305","RO0065547","Tinto Gran Reserva 82"
"306","RO0065547","Tinto Reserva 95"
"307","RO0065547","Monte Veronese"
"308","RO0065548","Brutti e Buoni"
"309","RO0065548","Merlot 97"
"310","RO0065548","Merlot 97"
"311","RO0065549","Bordeaux 97"
"312","RO0065549","Mature Cheddar"
"313","RO0065549","Merlot 97"
"314","RO0065549","Tinto Reserva 95"
"315","RO0065549","Provolone"
"316","RO0065550","RocheBaron Creamy Blue"
"317","RO0065551","Ricotta Salata"
"318","RO0065551","Tinto Reserva 96"
"319","RO0065551","Tinto Reserva 95"
"320","RO0065552","Cacciota"
"321","RO0065553","Brut Chardonnay Blanc de Blancs"
"322","RO0065553","Camembert"
"323","RO0065554","Tinto Reserva 94"
"324","RO0065554","Tinto Reserva 95"
"325","RO0065554","Pinot Noir 97"
"326","RO0065555","Tinto Reserva 95"
"327","RO0065555","Bordeaux 88"
"328","RO0065556","Bordeaux 97"
"329","RO0065557","Brut Chardonnay Blanc de Blancs"
"330","RO0065557","Parmigiano Reggiano"
"331","RO0065558","Brut Chardonnay Blanc de Blancs"
"332","RO0065558","Edam"
"333","RO0065559","1989 Brut Champagne"
"334","RO0065560","Provolone"
"335","RO0065560","Scotch Whiskey 15 años"
"336","RO0065560","Mozzarella di Bufala"
"337","RO0065561","Cabernet Merlot 97"
"338","RO0065561","Ron miel"
"339","RO0065561","Tinto Reserva 95"
"340","RO0065561","Provolone"
"341","RO0065562","Chocolate Truffle"
"342","RO0065562","Bourgogne Rouge 97"
"343","RO0065563","Bordeaux 97"
"344","RO0065564","Merlot 99"
"345","RO0065564","Mountain Gorgonzola"
"346","RO0065565","Bordeaux 97"
"347","RO0065565","Chenin Blanc 98"
"348","RO0065566","Chardonnay 97"
"349","RO0065566","White Panforte"
"350","RO0065566","Gouda"
"351","RO0065567","Bordeaux 97"
"352","RO0065567","Tinto Reserva 94"
"353","RO0065567","1989 Brut Champagne"
"354","RO0065568","Scotch Whiskey 15 años"
"355","RO0065568","Tiramisú"
"356","RO0065568","Chardonnay 98"
"357","RO0065569","Brut Chardonnay Blanc de Blancs"
"358","RO0065570","Cow's Irish Boile"
"359","RO0065570","Tinto Reserva 93"
"360","RO0065570","Tinto Reserva 96"
"361","RO0065571","Manchego"
"362","RO0065571","Brutti e Buoni"
"363","RO0065571","Chaource"
"364","RO0065572","Bordeaux 97"
"365","RO0065572","Reblochon"
"366","RO0065573","Zinfandel 96"
"367","RO0065574","Manchego"
"368","RO0065574","Almendras rellenas"
"369","RO0065574","Chevrelait"
"370","RO0065575","Tinto Reserva 95"
"371","RO0065576","Mature Cheddar"
"372","RO0065576","Extra Aged Gouda"
"373","RO0065577","Brut Chardonnay Blanc de Blancs"
"374","RO0065578","Camembert"
"375","RO0065579","Shiraz-Cabernet 96"
"376","RO0065580","Tinto Gran Reserva 91"
"377","RO0065580","Abondance"
"378","RO0065580","Mozzarella di Bufala"
"379","RO0065580","Parmigiano Reggiano"
"380","RO0065580","Tinto Reserva 95"
"381","RO0065580","Cabernet Franc 97"
"382","RO0065581","Bordeaux 88"
"383","RO0065581","Chablis Chardonnay 98"
"384","RO0065581","Bordeaux 97"
"385","RO0065581","Danish Crumbly Blue"
"386","RO0065582","Brut Extra Sélection"
"387","RO0065582","Maasdam"
"388","RO0065582","Double Gloucester"
"389","RO0065582","Parmigiano Reggiano"
"390","RO0065583","Cabrales"
"391","RO0065583","Chardonnay 98"
"392","RO0065583","Tinto Gran Reserva 91"
"393","RO0065583","Brutti e Buoni"
"394","RO0065583","Tinto Gran Reserva 92/94"
"395","RO0065584","Chevrelait"
"396","RO0065584","Scotch Whiskey 18 años"
"397","RO0065585","Brutti e Buoni"
"398","RO0065586","Maasdam"
"399","RO0065587","Tinto Reserva 93"
"400","RO0065587","Tinto Gran Reserva 91"
"401","RO0065587","Mozzarella di Bufala"
"402","RO0065588","Extra Brut"
"403","RO0065588","Gewürztraminer 93"
"404","RO0065589","Parmigiano Reggiano"
"405","RO0065589","Scotch Whiskey 15 años"
"406","RO0065589","Mozzarella di Bufala"
"407","RO0065590","Maasdam"
"408","RO0065590","Mozzarella di Bufala"
"409","RO0065591","Tinto Reserva 94"
"410","RO0065592","Bordeaux 97"
"411","RO0065592","Chevrelait"
"412","RO0065593","Ron miel"
"413","RO0065594","Scotch Whiskey 15 años"
"414","RO0065595","Extra Aged Gouda"
"415","RO0065596","Pinot Noir 98"
"416","RO0065597","Taleggio"
"417","RO0065598","Tinto Reserva 94"
"418","RO0065599","Shiraz-Cabernet 96"
"419","RO0065599","Scotch Whiskey 18 años"
"420","RO0065599","Tiramisú"
"421","RO0065600","Bordeaux 88"
"422","RO0065600","Scotch Whiskey 18 años"
"423","RO0065600","Gruyère de Comté"
"424","RO0065600","Lemon Puff"
"425","RO0065601","Camembert"
"426","RO0065601","Brut de Brut"
"427","RO0065601","Mozzarella di Bufala"
"428","RO0065602","Parmigiano Reggiano"
"429","RO0065602","Tinto Gran Reserva 91"
"430","RO0065603","Gruyère de Comté"
"431","RO0065603","Camembert"
"432","RO0065604","Brut Nature"
"433","RO0065605","Ibérico"
"434","RO0065605","Camembert"
"435","RO0065606","Zinfandel 98"
"436","RO0065606","Camembert"
"437","RO0065607","Tinto Reserva 95"
"438","RO0065607","Brut Rosé"
"439","RO0065607","Brutti e Buoni"
"440","RO0065608","Tinto Reserva 95"
"441","RO0065608","Brutti e Buoni"
"442","RO0065609","Layden Gin"
"443","RO0065609","Mozzarella di Bufala"
"444","RO0065609","Petit Verdot 97"
"445","RO0065610","Cabernet Sauvignon 96"
"446","RO0065611","Tinto Gran Reserva 82"
"447","RO0065611","Dark Panforte"
"448","RO0065611","Semillon 99"
"449","RO0065611","Brut Chardonnay Blanc de Blancs"
"450","RO0065612","Scotch Whiskey 15 años"
"451","RO0065612","Idiazabal"
"452","RO0065613","Chenin Blanc 98"
"453","RO0065613","Camembert"
"454","RO0065614","White Stilton"
"455","RO0065614","Scotch Whiskey 15 años"
"456","RO0065614","Maasdam"
"457","RO0065615","Tinto Reserva 93"
"458","RO0065615","Riesling Spätlese 98"
"459","RO0065615","Cabernet Sauvignon 96"
"460","RO0065616","Brut Chardonnay Blanc de Blancs"
"461","RO0065617","Maasdam"
"462","RO0065617","Chablis Chardonnay 97/98"
"463","RO0065618","Turrón de Jijona"
"464","RO0065618","Scotch Whiskey 21 años"
"465","RO0065619","Scotch Whiskey 15 años"
"466","RO0065619","Blanc de Blancs Brut Premier Cru"
"467","RO0065620","Provolone"
"468","RO0065620","Camembert"
"469","RO0065620","Sangiovese 96"
"470","RO0065620","Scotch Whiskey 18 años"
"471","RO0065620","Mature Cheddar"
"472","RO0065621","Leyden"
"473","RO0065621","Maasdam"
"474","RO0065622","Tinto Gran Reserva 91"
"475","RO0065622","Merlot 97"
"476","RO0065622","Parmigiano Reggiano"
"477","RO0065623","Chardonnay 98"
"478","RO0065623","Tinto Reserva 94"
"479","RO0065624","Sauvignon Blanc 96"
"480","RO0065625","Tinto Reserva 94"
"481","RO0065625","Maasdam"
"482","RO0065626","White Stilton"
"483","RO0065627","Brut Chardonnay Blanc de Blancs"
"484","RO0065628","Chardonnay 98"
"485","RO0065629","Brutti e Buoni"
"486","RO0065630","Bordeaux 97"
"487","RO0065630","Bourgogne Pinot Noir 98"
"488","RO0065630","Tête de Moine"
"489","RO0065631","Tinto Reserva 94"
"490","RO0065631","Syrah 97"
"491","RO0065631","Mature Cheddar"
"492","RO0065632","Layden Gin"
"493","RO0065632","Tinto Reserva 94"
"494","RO0065633","Reserva Familia"
"495","RO0065633","Morbier"
"496","RO0065633","Tinto Gran Reserva 91"
"497","RO0065633","Pinot Noir 98"
"498","RO0065634","Reserva Familia"
"499","RO0065635","Tinto Reserva 94"
"500","RO0065635","Mountain Gorgonzola"
"501","RO0065635","Tinto Reserva 95"
"502","RO0065636","Tinto Gran Reserva 89"
"503","RO0065636","Scotch Whiskey 15 años"
"504","RO0065636","Tinto Reserva 94"
"505","RO0065636","Scotch Whiskey 15 años"
"506","RO0065637","Chablis Chardonnay 97/98"
"507","RO0065638","Brut de Brut"
"508","RO0065638","Bordeaux 97"
"509","RO0065638","Doux de Montagne"
"510","RO0065639","Almendras rellenas"
"511","RO0131072","Merlot 97"
"512","RO0131072","Manchego"
"513","RO0131073","Provolone"
"514","RO0131074","Brutti e Buoni"
"515","RO0131074","Tinto Reserva 94"
"516","RO0131075","Tinto Reserva 95"
"517","RO0131075","Maple Sugar Cookies"
"518","RO0131076","Tinto Reserva 94"
"519","RO0131076","Gouda"
"520","RO0131076","Camembert"
"521","RO0131077","Chèvre"
"522","RO0131077","Camembert"
"523","RO0131077","Chaource"
"524","RO0131077","Monte Veronese"
"525","RO0131077","Mozzarella di Bufala"
"526","RO0131078","Tinto Reserva 94"
"527","RO0131078","Tinto Gran Reserva 91"
"528","RO0131078","Maasdam"
"529","RO0131079","Merlot 97"
"530","RO0131079","Blanc de Blancs Premier Cru"
"531","RO0131079","Bourgogne Rouge 97"
"532","RO0131080","Coulommiers"
"533","RO0131080","Irish Carrigaline"
"534","RO0131081","Chocolate Truffle"
"535","RO0131082","Bordeaux 97"
"536","RO0131082","Camembert"
"537","RO0131083","Chablis Chardonnay 97/98"
"538","RO0131084","Riesling Auslese 98"
"539","RO0131085","Gorgonzola Dolce"
"540","RO0131085","Lemon Puff"
"541","RO0131086","Brutti e Buoni"
"542","RO0131087","Tokay Pinot Gris 98"
"543","RO0131087","Yalumba Grenache 97"
"544","RO0131087","Tinto Gran Reserva 91"
"545","RO0131088","Mozzarella di Bufala"
"546","RO0131088","Scotch Whiskey 15 años"
"547","RO0131089","Parmigiano Reggiano"
"548","RO0131089","Semillon 97"
"549","RO0131090","Maasdam"
"550","RO0131091","Bordeaux 97"
"551","RO0131091","Layden Gin"
"552","RO0131092","Parmigiano Reggiano"
"553","RO0131092","Maasdam"
"554","RO0131093","Tinto Gran Reserva 91"
"555","RO0131094","Galettes"
"556","RO0131094","Merlot 99"
"557","RO0131094","Cabernet Sauvignon 97"
"558","RO0131095","Parmigiano Reggiano"
"559","RO0131095","Chablis Chardonnay 97/98"
"560","RO0131095","Yalumba Grenache 97"
"561","RO0131095","Extra Brut"
"562","RO0131096","Mature Cheddar"
"563","RO0131096","Camembert"
"564","RO0131096","Bordeaux 97"
"565","RO0131097","Tinto Gran Reserva 92/94"
"566","RO0131097","Bordeaux 97"
"567","RO0131097","Tinto Gran Reserva 89"
"568","RO0131098","Cabernet Merlot 97"
"569","RO0131098","Malbec 99"
"570","RO0131098","Chocolate Truffle"
"571","RO0131099","Cabernet Sauvignon Reserva 93"
"572","RO0131100","Brut Chardonnay Blanc de Blancs"
"573","RO0131101","Brut Chardonnay Blanc de Blancs"
"574","RO0131101","Scotch Whiskey 15 años"
"575","RO0131102","Dark Chocolate Digestives"
"576","RO0131102","Maasdam"
"577","RO0131103","Tinto Gran Reserva 91"
"578","RO0131103","Bordeaux 97"
"579","RO0131104","Camembert"
"580","RO0131104","Chardonnay 98"
"581","RO0131104","Cabernet Sauvignon 97"
"582","RO0131105","Tiramisú"
"583","RO0131106","Tinto Reserva 94"
"584","RO0131107","Scotch Whiskey 15 años"
"585","RO0131108","Camembert"
"586","RO0131108","Ultra-Brut"
"587","RO0131108","Chablis Chardonnay 97/98"
"588","RO0131109","Merlot 99"
"589","RO0131110","Scotch Whiskey 15 años"
"590","RO0131110","Chardonnay 98"
"591","RO0131110","Cabernet Sauvignon 97"
"592","RO0131111","Chèvre"
"593","RO0131111","Tinto Reserva 95"
"594","RO0131111","Brut Chardonnay Blanc de Blancs"
"595","RO0131111","Maasdam"
"596","RO0131111","Mature Cheddar"
"597","RO0131111","Extra Brut"
"598","RO0131112","Turrón de Alicante"
"599","RO0131112","Tinto Gran Reserva 91"
"600","RO0131113","Tinto Reserva 95"
"601","RO0131114","Bourgogne Rouge 97"
"602","RO0131114","Polvorones de Estepa"
"603","RO0131115","Mozzarella di Bufala"
"604","RO0131116","Zinfandel 96"
"605","RO0131116","Mature Cheddar"
"606","RO0131116","Scotch Whiskey 15 años"
"607","RO0131116","Appenzeller"
"608","RO0131116","Tinto Gran Reserva 91"
"609","RO0131116","Pecorino"
"610","RO0131117","Shiraz-Cabernet 96"
"611","RO0131117","Parmigiano Reggiano"
"612","RO0131118","Turrón de Alicante"
"613","RO0131118","Merlot 97"
"614","RO0131118","Chardonnay 98"
"615","RO0131118","Chardonnay 98"
"616","RO0131119","Tinto Gran Reserva 82"
"617","RO0131119","Scotch Whiskey 15 años"
"618","RO0131119","Blanc de Blancs Brut Premier Cru"
"619","RO0131119","Cabernet Sauvignon Reserva 93"
"620","RO0131119","Cow's Irish Boile"
"621","RO0131119","Riesling Auslese 98"
"622","RO0131120","Fino"
"623","RO0131120","Riesling 96"
"624","RO0131121","Sangiovese 96"
"625","RO0131121","Brut Chardonnay Blanc de Blancs"
"626","RO0131121","Tinto Gran Reserva 82"
"627","RO0131122","Dark Chocolate Digestives"
"628","RO0131122","Camembert"
"629","RO0131123","Manchego"
"630","RO0131124","Tinto Reserva 94"
"631","RO0131124","Tinto Gran Reserva 82"
"632","RO0131125","Manchego"
"633","RO0131125","Brinata"
"634","RO0131126","Tinto Gran Reserva 91"
"635","RO0131127","Merlot 97"
"636","RO0131127","Cabrales"
"637","RO0131128","Maasdam"
"638","RO0131129","Polvorones de Estepa"
"639","RO0131129","Chardonnay 98"
"640","RO0131130","Syrah 96"
"641","RO0131130","Tinto Gran Reserva 91"
"642","RO0131131","Tinto Gran Reserva 89"
"643","RO0131132","Provolone"
"644","RO0131133","Swiss Emmental"
"645","RO0131134","Bordeaux 97"
"646","RO0131134","Tinto Crianza 96/97"
"647","RO0131135","Chardonnay 97"
"648","RO0131136","Provolone"
"649","RO0131136","Tinto Crianza 96"
"650","RO0131136","Scotch Whiskey 18 años"
"651","RO0131136","Brut Chardonnay Blanc de Blancs"
"652","RO0131137","Camembert"
"653","RO0131137","Pinot Noir 97"
"654","RO0131137","Tinto Gran Reserva 91"
"655","RO0131137","Tinto Reserva 95"
"656","RO0131138","Camembert"
"657","RO0131138","Bourgogne Rouge 97"
"658","RO0131139","Chablis Chardonnay 97/98"
"659","RO0131140","Brutti e Buoni"
"660","RO0131140","Tinto Reserva 94"
"661","RO0131140","Tinto Reserva 94"
"662","RO0131140","Postel"
"663","RO0131141","Idiazabal"
"664","RO0131141","Tinto Gran Reserva 82"
"665","RO0131142","Tinto Crianza 96"
"666","RO0131142","Camembert"
"667","RO0131142","Provolone"
"668","RO0131142","Pinot Noir 98"
"669","RO0131143","Yalumba Grenache 97"
"670","RO0131143","Pecorino Toscano"
"671","RO0131144","Cru Beaujolais 99"
"672","RO0131144","Tinto Gran Reserva 91"
"673","RO0131144","Chablis Chardonnay 97/98"
"674","RO0131145","Chablis Chardonnay 97/98"
"675","RO0131146","Cabernet Franc 97"
"676","RO0131146","Parmigiano Reggiano"
"677","RO0131146","Chardonnay 98"
"678","RO0131146","Camembert"
"679","RO0131147","Tinto Gran Reserva 82"
"680","RO0131147","Tinto Crianza 96"
"681","RO0131147","Swiss Gruyere"
"682","RO0131148","Tinto Reserva 95"
"683","RO0131148","Tinto Gran Reserva 82"
"684","RO0131149","Parmigiano Reggiano"
"685","RO0131149","Scotch Whiskey 15 años"
"686","RO0131150","Chardonnay 98"
"687","RO0131150","Scotch Whiskey 15 años"
"688","RO0131151","Passendale"
"689","RO0131151","Cabernet Sauvignon 96"
"690","RO0131151","Lemon Puff"
"691","RO0131151","Bordeaux 97"
"692","RO0131152","Mozzarella di Bufala"
