"","IMPORTETOTAL","SEXO","FORMAPAGO","ESTADOCIVIL"
"67",63.5475,"Hombre","Efectivo","Casado/a"
"68",74.445,"Hombre","Tarjeta de Crédito","Casado/a"
"69",42.71,"Mujer","Tarjeta de Crédito","Casado/a"
"70",301.15,"Mujer","Tarjeta de Crédito","Casado/a"
"71",5.5625,"Mujer","Tarjeta de Crédito","Casado/a"
"72",51.4,"Mujer","Tarjeta de Crédito","Casado/a"
"73",4.975,"Hombre","Efectivo","Divorciado/a"
"74",34.62,"Hombre","Efectivo","Divorciado/a"
"75",32.38,"Hombre","Tarjeta de Crédito","Casado/a"
"76",5.5,"Hombre","Tarjeta Débito","Casado/a"
"77",41.94,"Hombre","Efectivo","Casado/a"
"78",5.5625,"Hombre","Efectivo","Casado/a"
"79",11.45,"Mujer","Tarjeta Débito","Divorciado/a"
"80",19.3,"Mujer","Tarjeta de Crédito","Casado/a"
"81",16.6825,"Empresa","Tarjeta de Crédito",""
"82",21.47,"Empresa","Tarjeta Débito",""
"83",7.475,"Empresa","Tarjeta Débito",""
"84",7.51,"Empresa","Tarjeta Débito",""
"85",23.4375,"Empresa","Tarjeta Débito",""
"86",35,"Empresa","Tarjeta de Crédito",""
"87",3.5,"Empresa","Tarjeta Débito",""
"88",29.0875,"Mujer","Efectivo","Soltero/a"
"89",13.675,"Mujer","Efectivo","Soltero/a"
"90",17.345,"Mujer","Efectivo","Soltero/a"
"91",9.35,"Mujer","Tarjeta Débito","Soltero/a"
"92",14.6025,"Hombre","Efectivo","Soltero/a"
"93",32.1725,"Hombre","Tarjeta Débito","Casado/a"
"94",5.5875,"Empresa","Tarjeta Débito",""
"95",10.25,"Empresa","Tarjeta Débito",""
"96",63.43,"Empresa","Tarjeta Débito",""
"97",34.1025,"Hombre","Tarjeta de Crédito","Casado/a"
"98",11.9125,"Hombre","Tarjeta de Crédito","Casado/a"
"99",48.325,"Hombre","Tarjeta Débito","Casado/a"
"100",6.225,"Hombre","Efectivo","Casado/a"
"101",154.725,"Empresa","Tarjeta de Crédito",""
"102",46.96,"Empresa","Tarjeta de Crédito",""
"103",18,"Mujer","Tarjeta de Crédito","Soltero/a"
"104",9.7,"Mujer","Tarjeta Débito","Soltero/a"
"105",9.35,"Mujer","Efectivo","Soltero/a"
"106",8.25,"Mujer","Efectivo","Soltero/a"
"107",24.15,"Mujer","Tarjeta Débito","Casado/a"
"108",17.35,"Mujer","Tarjeta de Crédito","Casado/a"
"109",14.845,"Mujer","Tarjeta de Crédito","Casado/a"
"110",72.15,"Mujer","Tarjeta Débito","Casado/a"
"111",22.255,"Hombre","Efectivo","Soltero/a"
"112",11.51,"Hombre","Efectivo","Soltero/a"
"113",15.25,"Hombre","Efectivo","Casado/a"
"114",13.86,"Hombre","Tarjeta de Crédito","Casado/a"
"115",21.285,"Hombre","Tarjeta de Crédito","Divorciado/a"
"116",33.02,"Hombre","Efectivo","Divorciado/a"
"117",17.475,"Mujer","Tarjeta Débito","Casado/a"
"118",6.8375,"Mujer","Tarjeta de Crédito","Casado/a"
"119",16.7875,"Mujer","Tarjeta de Crédito","Casado/a"
"120",45.03,"Mujer","Efectivo","Casado/a"
"121",42.14,"Hombre","Tarjeta Débito","Casado/a"
"122",18.9,"Hombre","Tarjeta de Crédito","Casado/a"
"123",28.35,"Empresa","Efectivo",""
"124",20.5875,"Empresa","Tarjeta de Crédito",""
"125",22.37,"Hombre","Efectivo","Divorciado/a"
"126",16.5375,"Hombre","Tarjeta de Crédito","Divorciado/a"
"127",17.05,"Empresa","Tarjeta de Crédito",""
"128",3.75,"Empresa","Tarjeta de Crédito",""
"129",36.85,"Mujer","Tarjeta Débito","Divorciado/a"
"130",36.175,"Mujer","Efectivo","Divorciado/a"
"131",6.225,"Mujer","Tarjeta Débito","Divorciado/a"
"132",10,"Mujer","Tarjeta Débito","Divorciado/a"
"133",15.61,"Hombre","Tarjeta de Crédito","Casado/a"
"134",9.35,"Hombre","Efectivo","Casado/a"
"135",109.31,"Mujer","Tarjeta Débito","Casado/a"
"136",5.5625,"Mujer","Efectivo","Casado/a"
"137",21.28,"Hombre","Efectivo","Casado/a"
"138",27.63,"Hombre","Tarjeta de Crédito","Casado/a"
"139",122.5125,"Hombre","Tarjeta Débito","Casado/a"
"140",5.5625,"Hombre","Efectivo","Casado/a"
"141",7.1875,"Hombre","Tarjeta Débito","Soltero/a"
"142",15.86,"Mujer","Efectivo","Casado/a"
"143",10.8875,"Mujer","Efectivo","Casado/a"
"144",36.455,"Mujer","Tarjeta Débito","Casado/a"
"145",47.3075,"Mujer","Tarjeta Débito","Casado/a"
"146",15.975,"Hombre","Tarjeta de Crédito","Casado/a"
"147",118.95,"Hombre","Tarjeta de Crédito","Casado/a"
"148",23.13,"Mujer","Tarjeta Débito","Divorciado/a"
"149",4.975,"Mujer","Efectivo","Divorciado/a"
"150",6.225,"Mujer","Efectivo","Divorciado/a"
"151",29.95,"Mujer","Efectivo","Divorciado/a"
"152",9.5875,"Hombre","Tarjeta Débito","Soltero/a"
"153",27.05,"Hombre","Tarjeta de Crédito","Soltero/a"
"154",71.85,"Empresa","Tarjeta de Crédito",""
"155",35.22,"Empresa","Tarjeta de Crédito",""
"156",9.26,"Empresa","Tarjeta de Crédito",""
"157",3.75,"Empresa","Efectivo",""
"158",21.485,"Empresa","Tarjeta Débito",""
"159",12.9,"Mujer","Tarjeta Débito","Casado/a"
"160",15.75,"Mujer","Efectivo","Casado/a"
"161",11.25,"Hombre","Efectivo","Casado/a"
"162",6.35,"Hombre","Tarjeta Débito","Casado/a"
"163",31.44,"Hombre","Tarjeta Débito","Casado/a"
"164",6.75,"Hombre","Tarjeta de Crédito","Casado/a"
"165",7.2,"Mujer","Efectivo","Casado/a"
"166",11.625,"Hombre","Efectivo","Casado/a"
"167",29.95,"Hombre","Tarjeta Débito","Casado/a"
"168",6.225,"Hombre","Efectivo","Casado/a"
"169",15.2875,"Hombre","Tarjeta Débito","Casado/a"
"170",39.24,"Hombre","Tarjeta de Crédito","Casado/a"
"171",73.09,"Mujer","Tarjeta de Crédito","Casado/a"
"172",7.01,"Mujer","Tarjeta de Crédito","Casado/a"
"173",26.14,"Mujer","Tarjeta Débito","Casado/a"
"174",49.31,"Mujer","Tarjeta de Crédito","Soltero/a"
"175",33.375,"Hombre","Efectivo","Soltero/a"
"176",28.28,"Hombre","Tarjeta de Crédito","Casado/a"
"177",35.9875,"Hombre","Efectivo","Casado/a"
"178",55.26,"Hombre","Efectivo","Casado/a"
"179",5.5,"Hombre","Tarjeta Débito","Divorciado/a"
"180",26.175,"Hombre","Tarjeta de Crédito","Divorciado/a"
"181",24.475,"Mujer","Tarjeta de Crédito","Casado/a"
"182",16.765,"Mujer","Tarjeta de Crédito","Casado/a"
"183",9.975,"Empresa","Tarjeta Débito",""
"184",9.04,"Empresa","Efectivo",""
"185",17.225,"Empresa","Tarjeta Débito",""
"186",53.755,"Empresa","Efectivo",""
"187",28.45,"Empresa","Tarjeta de Crédito",""
"188",35.45,"Empresa","Tarjeta de Crédito",""
"189",34.1175,"Mujer","Tarjeta de Crédito","Divorciado/a"
"190",65.25,"Mujer","Tarjeta Débito","Divorciado/a"
"191",64.33,"Mujer","Tarjeta de Crédito","Divorciado/a"
"192",8.05,"Mujer","Tarjeta de Crédito","Divorciado/a"
"193",27.02,"Mujer","Efectivo","Casado/a"
"194",36.3125,"Mujer","Efectivo","Casado/a"
"195",14.325,"Mujer","Efectivo","Casado/a"
"196",34.175,"Mujer","Tarjeta Débito","Casado/a"
"197",18.745,"Hombre","Efectivo","Casado/a"
"198",12.3125,"Hombre","Tarjeta de Crédito","Casado/a"
"199",11.725,"Mujer","Efectivo","Casado/a"
"200",14.375,"Mujer","Tarjeta de Crédito","Casado/a"
"201",9.26,"Mujer","Efectivo","Casado/a"
"202",14.31,"Mujer","Tarjeta de Crédito","Casado/a"
"203",12.45,"Mujer","Tarjeta de Crédito","Casado/a"
"204",16.425,"Mujer","Tarjeta Débito","Divorciado/a"
"205",8.25,"Mujer","Tarjeta Débito","Divorciado/a"
"206",21.3425,"Mujer","Tarjeta de Crédito","Divorciado/a"
"207",5.5,"Mujer","Efectivo","Divorciado/a"
"208",11.05,"Mujer","Tarjeta de Crédito","Divorciado/a"
"209",29.95,"Mujer","Tarjeta de Crédito","Divorciado/a"
"210",3.75,"Hombre","Tarjeta Débito","Soltero/a"
"211",7.8125,"Hombre","Efectivo","Soltero/a"
"212",19.675,"Empresa","Tarjeta Débito",""
"213",29.0625,"Empresa","Tarjeta de Crédito",""
"214",29.81,"Empresa","Tarjeta Débito",""
"215",39.005,"Empresa","Tarjeta de Crédito",""
"216",31.2375,"Mujer","Tarjeta de Crédito","Casado/a"
"217",5.5625,"Mujer","Tarjeta Débito","Casado/a"
"218",16.86,"Hombre","Efectivo","Casado/a"
"219",9.04,"Hombre","Tarjeta de Crédito","Casado/a"
"220",9.25,"Hombre","Tarjeta Débito","Casado/a"
"221",6.8375,"Hombre","Tarjeta Débito","Casado/a"
"222",11.9125,"Empresa","Tarjeta Débito",""
"223",37.84,"Empresa","Efectivo",""
"224",20.7075,"Mujer","Efectivo","Casado/a"
"225",15.02,"Hombre","Tarjeta Débito","Casado/a"
"226",11.12,"Hombre","Efectivo","Casado/a"
"227",102.06,"Hombre","Tarjeta de Crédito","Casado/a"
"228",11.5,"Empresa","Tarjeta Débito",""
"229",25.5,"Empresa","Efectivo",""
"230",36.175,"Mujer","Tarjeta Débito","Casado/a"
"231",11.45,"Mujer","Tarjeta Débito","Casado/a"
"232",13.1,"Mujer","Tarjeta Débito","Soltero/a"
"233",11.2,"Mujer","Tarjeta de Crédito","Soltero/a"
"234",17.28,"Hombre","Tarjeta Débito","Soltero/a"
"235",11.2,"Hombre","Tarjeta de Crédito","Soltero/a"
"236",60.775,"Hombre","Tarjeta de Crédito","Casado/a"
"237",26.68,"Hombre","Efectivo","Casado/a"
"238",4.975,"Hombre","Tarjeta de Crédito","Casado/a"
"239",11.12,"Hombre","Tarjeta Débito","Casado/a"
"240",52.35,"Hombre","Tarjeta de Crédito","Divorciado/a"
"241",17.4,"Hombre","Efectivo","Divorciado/a"
"242",42.1275,"Empresa","Tarjeta Débito",""
"243",26.675,"Empresa","Tarjeta de Crédito",""
"244",31.27,"Empresa","Tarjeta de Crédito",""
"245",23,"Empresa","Tarjeta Débito",""
"246",9.04,"Mujer","Tarjeta de Crédito","Divorciado/a"
"247",17.36,"Mujer","Efectivo","Divorciado/a"
"248",19.9,"Hombre","Tarjeta Débito","Casado/a"
"249",19.0825,"Hombre","Tarjeta Débito","Casado/a"
"250",34.92,"Mujer","Tarjeta de Crédito","Casado/a"
"251",45.95,"Mujer","Tarjeta de Crédito","Casado/a"
"252",6.225,"Mujer","Tarjeta de Crédito","Casado/a"
"253",5.5875,"Mujer","Tarjeta de Crédito","Casado/a"
"254",23.505,"Mujer","Tarjeta Débito","Casado/a"
"255",8.1,"Mujer","Efectivo","Casado/a"
"256",60.585,"Empresa","Tarjeta Débito",""
"257",59.79,"Empresa","Efectivo",""
"258",15.885,"Empresa","Tarjeta de Crédito",""
"259",5,"Hombre","Efectivo","Soltero/a"
"260",4.975,"Hombre","Efectivo","Soltero/a"
"261",13.085,"Mujer","Efectivo","Casado/a"
"262",37.9,"Mujer","Efectivo","Casado/a"
"263",27.26,"Hombre","Tarjeta de Crédito","Soltero/a"
"264",11.7875,"Hombre","Tarjeta Débito","Soltero/a"
"265",52.35,"Hombre","Tarjeta de Crédito","Soltero/a"
"266",49.31,"Hombre","Tarjeta de Crédito","Soltero/a"
"267",114.15,"Hombre","Efectivo","Divorciado/a"
"268",17.9,"Hombre","Tarjeta Débito","Divorciado/a"
"269",4.0625,"Mujer","Efectivo","Divorciado/a"
"270",9.0375,"Mujer","Tarjeta Débito","Soltero/a"
"271",6.225,"Mujer","Tarjeta Débito","Soltero/a"
"272",6.225,"Mujer","Tarjeta de Crédito","Soltero/a"
"273",11,"Hombre","Efectivo","Soltero/a"
"274",21.1875,"Empresa","Tarjeta Débito",""
"275",16.4475,"Empresa","Tarjeta de Crédito",""
"276",5.3,"Hombre","Tarjeta Débito","Soltero/a"
"277",26.515,"Hombre","Tarjeta de Crédito","Soltero/a"
"278",6.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"279",11.0625,"Hombre","Efectivo","Soltero/a"
"280",52.0875,"Empresa","Tarjeta Débito",""
"281",23.5,"Hombre","Tarjeta de Crédito","Casado/a"
"282",17.28,"Hombre","Tarjeta de Crédito","Casado/a"
"283",15.3125,"Mujer","Efectivo","Soltero/a"
"284",19.285,"Mujer","Efectivo","Soltero/a"
"285",15,"Mujer","Tarjeta de Crédito","Soltero/a"
"286",6.225,"Mujer","Tarjeta de Crédito","Soltero/a"
"287",57.58,"Empresa","Tarjeta Débito",""
"288",8.25,"Hombre","Efectivo","Soltero/a"
"289",18.3075,"Hombre","Efectivo","Soltero/a"
"290",5.5625,"Hombre","Tarjeta Débito","Soltero/a"
"291",5.5625,"Hombre","Tarjeta de Crédito","Soltero/a"
"292",23.5,"Empresa","Tarjeta Débito",""
"293",23.7575,"Empresa","Efectivo",""
"294",69.85,"Empresa","Efectivo",""
"295",26.585,"Empresa","Tarjeta Débito",""
"296",76.9125,"Empresa","Tarjeta Débito",""
"297",34.48,"Empresa","Tarjeta Débito",""
"298",20.5625,"Empresa","Tarjeta Débito",""
"299",13.225,"Empresa","Tarjeta Débito",""
"300",37.94,"Empresa","Tarjeta Débito",""
"301",17.795,"Empresa","Tarjeta de Crédito",""
"302",13.36,"Empresa","Tarjeta Débito",""
"303",3.55,"Hombre","Tarjeta de Crédito","Divorciado/a"
"304",17.9,"Mujer","Tarjeta Débito","Casado/a"
"305",15.02,"Mujer","Tarjeta Débito","Casado/a"
"306",4.975,"Mujer","Tarjeta Débito","Casado/a"
"307",74.435,"Empresa","Tarjeta de Crédito",""
"308",44.97,"Mujer","Efectivo","Casado/a"
"309",14.25,"Mujer","Efectivo","Casado/a"
"310",6.2,"Hombre","Efectivo","Casado/a"
"311",3.75,"Hombre","Tarjeta de Crédito","Casado/a"
"312",9.5875,"Hombre","Tarjeta de Crédito","Casado/a"
"313",11,"Hombre","Tarjeta Débito","Casado/a"
"314",18.12,"Empresa","Efectivo",""
"315",12.475,"Empresa","Tarjeta Débito",""
"316",29.95,"Hombre","Efectivo","Soltero/a"
"317",47.875,"Hombre","Tarjeta Débito","Soltero/a"
"318",6.8375,"Mujer","Efectivo","Casado/a"
"319",10.225,"Mujer","Efectivo","Casado/a"
"320",15.06,"Hombre","Tarjeta Débito","Soltero/a"
"321",15.74,"Hombre","Tarjeta de Crédito","Soltero/a"
"322",11.125,"Hombre","Tarjeta Débito","Soltero/a"
"323",3.75,"Hombre","Tarjeta Débito","Soltero/a"
"324",29.95,"Hombre","Tarjeta Débito","Divorciado/a"
"325",4.0625,"Hombre","Tarjeta Débito","Divorciado/a"
"326",9.5875,"Mujer","Tarjeta de Crédito","Divorciado/a"
"327",52.03,"Mujer","Tarjeta Débito","Divorciado/a"
"328",11.2,"Mujer","Tarjeta de Crédito","Soltero/a"
"329",5.11,"Mujer","Tarjeta Débito","Soltero/a"
"330",19.1,"Hombre","Tarjeta de Crédito","Soltero/a"
"331",49.38,"Hombre","Tarjeta de Crédito","Soltero/a"
"332",28.7,"Empresa","Tarjeta de Crédito",""
"333",23.96,"Empresa","Tarjeta de Crédito",""
"334",38.825,"Hombre","Tarjeta de Crédito","Soltero/a"
"335",5.5,"Hombre","Efectivo","Soltero/a"
"336",4.75,"Hombre","Tarjeta de Crédito","Soltero/a"
"337",21.355,"Empresa","Tarjeta de Crédito",""
"338",66.4825,"Empresa","Tarjeta de Crédito",""
"339",11.5875,"Hombre","Efectivo","Casado/a"
"340",5.725,"Hombre","Tarjeta de Crédito","Casado/a"
"341",29.95,"Hombre","Tarjeta Débito","Casado/a"
"342",30.8425,"Mujer","Tarjeta de Crédito","Soltero/a"
"343",27.45,"Mujer","Tarjeta Débito","Soltero/a"
"344",12.11,"Mujer","Efectivo","Soltero/a"
"345",11.7875,"Mujer","Tarjeta de Crédito","Soltero/a"
"346",6.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"347",11.12,"Hombre","Tarjeta de Crédito","Soltero/a"
"348",5,"Hombre","Tarjeta Débito","Soltero/a"
"349",4.975,"Hombre","Tarjeta de Crédito","Soltero/a"
"350",8.1,"Hombre","Efectivo","Soltero/a"
"351",6.8375,"Hombre","Tarjeta de Crédito","Soltero/a"
"352",4.0625,"Empresa","Tarjeta de Crédito",""
"353",11.25,"Empresa","Tarjeta Débito",""
"354",35.585,"Empresa","Tarjeta de Crédito",""
"355",33.375,"Empresa","Tarjeta Débito",""
"356",6.225,"Hombre","Efectivo","Soltero/a"
"357",32.63,"Empresa","Tarjeta de Crédito",""
"358",23.99,"Empresa","Tarjeta de Crédito",""
"359",5.725,"Empresa","Tarjeta de Crédito",""
"360",20.995,"Empresa","Efectivo",""
"361",18.5125,"Empresa","Tarjeta Débito",""
"362",35.25,"Empresa","Efectivo",""
"363",33.7,"Empresa","Efectivo",""
"364",24.6075,"Empresa","Efectivo",""
"365",35.01,"Mujer","Efectivo","Casado/a"
"366",8.475,"Mujer","Efectivo","Casado/a"
"367",38.405,"Empresa","Tarjeta de Crédito",""
"368",70.25,"Empresa","Tarjeta Débito",""
"369",26.85,"Mujer","Tarjeta Débito","Casado/a"
"370",12.9,"Hombre","Efectivo","Casado/a"
"371",24.4,"Hombre","Tarjeta Débito","Casado/a"
"372",6.35,"Hombre","Tarjeta de Crédito","Casado/a"
"373",7.1875,"Hombre","Tarjeta de Crédito","Casado/a"
"374",76.75,"Empresa","Tarjeta de Crédito",""
"375",17.175,"Empresa","Tarjeta de Crédito",""
"376",16.5,"Empresa","Tarjeta Débito",""
"377",57.11,"Empresa","Tarjeta Débito",""
"378",24.925,"Empresa","Tarjeta de Crédito",""
"379",11.12,"Empresa","Tarjeta Débito",""
"380",52.9,"Empresa","Tarjeta Débito",""
"381",12.45,"Empresa","Tarjeta Débito",""
"382",51.29,"Mujer","Tarjeta Débito","Casado/a"
"383",5.5875,"Mujer","Tarjeta de Crédito","Casado/a"
"384",3.725,"Mujer","Tarjeta de Crédito","Casado/a"
"385",6.35,"Mujer","Efectivo","Casado/a"
"386",4.0625,"Hombre","Efectivo","Casado/a"
"387",4.975,"Hombre","Tarjeta de Crédito","Casado/a"
"388",5.5,"Mujer","Efectivo","Divorciado/a"
"389",6.225,"Mujer","Tarjeta Débito","Divorciado/a"
"390",11.25,"Mujer","Tarjeta de Crédito","Divorciado/a"
"391",16.095,"Mujer","Tarjeta Débito","Divorciado/a"
"392",40.82,"Hombre","Tarjeta de Crédito","Soltero/a"
"393",37.66,"Hombre","Tarjeta Débito","Soltero/a"
"394",30.17,"Hombre","Tarjeta de Crédito","Soltero/a"
"395",40.46,"Hombre","Tarjeta de Crédito","Soltero/a"
"396",54.37,"Hombre","Tarjeta Débito","Soltero/a"
"397",6.225,"Hombre","Efectivo","Soltero/a"
"398",59.015,"Empresa","Tarjeta de Crédito",""
"399",86.92,"Empresa","Tarjeta Débito",""
"400",79.045,"Empresa","Tarjeta de Crédito",""
"401",36.06,"Empresa","Tarjeta de Crédito",""
"402",3.99,"Hombre","Tarjeta de Crédito","Casado/a"
"403",5.5875,"Hombre","Tarjeta de Crédito","Casado/a"
"404",6.225,"Mujer","Tarjeta Débito","Soltero/a"
"405",15.02,"Mujer","Tarjeta Débito","Soltero/a"
"406",15.02,"Mujer","Tarjeta Débito","Casado/a"
"407",12.25,"Mujer","Tarjeta de Crédito","Casado/a"
"408",27.63,"Mujer","Tarjeta Débito","Soltero/a"
"409",41.92,"Empresa","Tarjeta Débito",""
"410",27.05,"Empresa","Tarjeta Débito",""
"411",19.81,"Empresa","Efectivo",""
"412",17.9,"Hombre","Tarjeta Débito","Soltero/a"
"413",10.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"414",6.225,"Hombre","Tarjeta de Crédito","Soltero/a"
"415",18.4875,"Hombre","Tarjeta Débito","Soltero/a"
"416",42.75,"Hombre","Efectivo","Divorciado/a"
"417",52.1625,"Hombre","Tarjeta Débito","Divorciado/a"
"418",11.45,"Hombre","Tarjeta de Crédito","Divorciado/a"
"419",5.5875,"Hombre","Tarjeta de Crédito","Divorciado/a"
"420",6.35,"Hombre","Tarjeta de Crédito","Soltero/a"
"421",20.7075,"Hombre","Efectivo","Soltero/a"
"422",8.725,"Hombre","Tarjeta Débito","Soltero/a"
"423",17.28,"Hombre","Tarjeta Débito","Divorciado/a"
"424",22.4225,"Empresa","Tarjeta de Crédito",""
"425",15.4625,"Empresa","Tarjeta de Crédito",""
"426",22.7325,"Empresa","Efectivo",""
"427",39.3425,"Empresa","Efectivo",""
"428",183.15,"Empresa","Tarjeta de Crédito",""
"429",15.8125,"Empresa","Efectivo",""
"430",11.2,"Empresa","Tarjeta de Crédito",""
"431",9.04,"Hombre","Tarjeta Débito","Casado/a"
"432",36.85,"Hombre","Tarjeta Débito","Casado/a"
"433",33.0875,"Hombre","Tarjeta de Crédito","Casado/a"
"434",132.6,"Hombre","Tarjeta Débito","Casado/a"
"435",11.2,"Mujer","Tarjeta Débito","Casado/a"
"436",15.8125,"Mujer","Tarjeta Débito","Casado/a"
"437",90.06,"Empresa","Tarjeta de Crédito",""
"438",16.28,"Empresa","Efectivo",""
"439",5.5,"Empresa","Efectivo",""
"440",59.795,"Empresa","Efectivo",""
"441",17.9,"Hombre","Tarjeta Débito","Casado/a"
"442",33.675,"Mujer","Tarjeta de Crédito","Divorciado/a"
"443",18.87,"Mujer","Tarjeta de Crédito","Divorciado/a"
"444",33.36,"Empresa","Tarjeta de Crédito",""
"445",4.0625,"Empresa","Efectivo",""
"446",14.025,"Empresa","Tarjeta de Crédito",""
"447",28.475,"Empresa","Tarjeta de Crédito",""
"448",20.67,"Empresa","Tarjeta Débito",""
"449",11,"Empresa","Tarjeta Débito",""
"450",23.735,"Hombre","Tarjeta Débito","Casado/a"
"451",3.75,"Hombre","Tarjeta de Crédito","Casado/a"
"452",5.5625,"Mujer","Tarjeta de Crédito","Casado/a"
"453",14.585,"Mujer","Tarjeta de Crédito","Casado/a"
"454",19.95,"Mujer","Efectivo","Casado/a"
"455",35.45,"Mujer","Tarjeta de Crédito","Casado/a"
"456",14.31,"Hombre","Tarjeta de Crédito","Casado/a"
"457",17.28,"Hombre","Tarjeta Débito","Casado/a"
"458",19.995,"Hombre","Tarjeta Débito","Casado/a"
"459",5.5625,"Mujer","Tarjeta de Crédito","Divorciado/a"
"460",34.75,"Mujer","Efectivo","Divorciado/a"
"461",3.75,"Mujer","Efectivo","Divorciado/a"
"462",10.51,"Mujer","Efectivo","Soltero/a"
"463",32.6,"Hombre","Tarjeta Débito","Soltero/a"
"464",40.47,"Hombre","Tarjeta Débito","Soltero/a"
"465",15.02,"Hombre","Efectivo","Soltero/a"
"466",8.36,"Hombre","Tarjeta de Crédito","Soltero/a"
"467",52.45,"Empresa","Tarjeta de Crédito",""
"468",84.5,"Empresa","Efectivo",""
"469",218,"Empresa","Efectivo",""
"470",140.955,"Empresa","Tarjeta de Crédito",""
"471",17.28,"Hombre","Tarjeta de Crédito","Casado/a"
"472",11.12,"Mujer","Efectivo","Soltero/a"
"473",14.62,"Mujer","Tarjeta Débito","Casado/a"
"474",4.0625,"Mujer","Tarjeta de Crédito","Casado/a"
"475",15.06,"Mujer","Tarjeta de Crédito","Casado/a"
"476",3.5,"Mujer","Tarjeta de Crédito","Casado/a"
"477",28.8025,"Empresa","Efectivo",""
"478",39.5375,"Empresa","Tarjeta Débito",""
"479",44.9,"Empresa","Efectivo",""
"480",24.125,"Empresa","Tarjeta de Crédito",""
